student_id,gpa,skills,reservation,rural,gender,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6
S00058,5.45,presentation;communication;social_media,GEN,0,O,I042,I015,I043,I065,I045,I062
S00059,7.07,cad_modelling;autocad,ST,1,M,I006,I028,I047,I021,I001,I019
S00060,8.55,backend;cloud;ml;construction_management;java,GEN,1,F,I055,I057,I052,I048,I030,I018
S00061,5.39,communication;social_media;seo;sql,OBC,1,F,I043,I003,I067,I049,I042,I057
S00062,7.18,manufacturing;communication;autocad;analysis;financial_modeling,GEN,0,M,I006,I011,I062,I068,I045,I059
S00063,7.3,python;communication,SC,0,F,I042,I003,I015,I051,I055,I068
S00064,7.23,networking;java;social_media;cloud;sql,ST,0,F,I030,I003,I058,I057,I054,I053
S00065,7.29,python;networking;pcb_design;presentation,SC,1,F,I003,I056,I063,I051,I055,I026
S00066,8.87,java;backend,OBC,0,M,I018,I053,I057,I055,I054,I030
S00067,7.47,pcb_design;python;java;communication;sql,OBC,1,M,I030,I023,I065,I064,I060,I066
S00068,6.03,python;design,GEN,1,F,I024,I034,I008,I033,I060,I059
S00069,7.79,sql;manufacturing;frontend;networking;java,OBC,0,F,I023,I054,I007,I008,I003,I030
S00070,7.96,excel;analysis;sql;cad_modelling;presentation,OBC,0,M,I010,I028,I062,I045,I069,I063
S00071,7.41,communication;seo;presentation;analysis,GEN,0,F,I043,I068,I015,I045,I042,I011
S00072,6.75,sql;presentation,OBC,1,M,I010,I044,I031,I003,I057,I015
S00073,6.92,communication;presentation,GEN,0,F,I042,I043,I015,I068,I011,I062
S00074,7.34,manufacturing;cad_modelling;presentation;pcb_design,GEN,0,F,I006,I047,I021,I007,I059,I001
S00075,7.01,networking;construction_management,GEN,0,M,I013,I026,I019,I032,I007,I005
S00076,7.63,surveying;construction_management;autocad,GEN,1,M,I032,I004,I019,I027,I013,I047
S00077,6.14,python;networking,SC,1,M,I056,I003,I051,I036,I055,I018
S00078,5.93,cloud;networking;presentation,GEN,0,F,I037,I049,I003,I050,I043,I053
S00079,6.78,analysis;financial_modeling;backend;networking;presentation,GEN,1,M,I063,I054,I050,I035,I010,I042
S00080,7.71,python;frontend;java,OBC,0,M,I036,I030,I018,I052,I051,I014
S00081,7.47,excel;communication;seo;surveying;social_media,GEN,0,M,I041,I042,I015,I043,I062,I045
S00082,5.49,construction_management;autocad;surveying;backend,OBC,1,M,I004,I019,I032,I018,I057,I027
S00083,5.86,cad_modelling;autocad;design,GEN,0,M,I006,I001,I028,I021,I047,I009
S00084,8.05,analysis;design;construction_management,SC,1,F,I005,I013,I059,I006,I028,I025
S00085,7.52,python;networking;cad_modelling;communication,OBC,0,F,I051,I056,I003,I036,I043,I054
S00086,7.51,communication;presentation;sql;excel;python,GEN,0,M,I065,I042,I015,I020,I066,I067
S00087,10,communication;sql;financial_modeling;seo,GEN,0,M,I041,I065,I044,I066,I067,I043
S00088,7.95,sql;analysis;construction_management;autocad;manufacturing,GEN,0,M,I027,I006,I019,I059,I002,I003
S00089,9.31,financial_modeling;presentation;frontend,GEN,1,M,I020,I035,I044,I036,I050,I010
S00090,6.53,seo;social_media,OBC,1,M,I043,I049,I040,I012,I041,I022
S00091,8.09,manufacturing;seo,GEN,0,F,I047,I006,I049,I043,I021,I012
S00092,6.28,autocad;analysis;social_media;communication,OBC,0,M,I002,I027,I019,I045,I068,I062
S00093,7.05,presentation;seo;design,ST,0,M,I049,I043,I041,I022,I024,I059
S00094,4.97,presentation;writing,GEN,0,M,I043,I049,I010,I063,I065,I015
S00095,7.19,construction_management;surveying;design;analysis,GEN,1,F,I013,I028,I032,I006,I019,I005
S00096,6.21,manufacturing;design;pcb_design;ml;autocad,OBC,1,F,I021,I006,I001,I007,I047,I059
S00097,7.5,python;ml,GEN,0,M,I063,I055,I051,I003,I056,I064
S00098,7.87,excel;sql;analysis;communication,OBC,1,M,I045,I062,I064,I069,I038,I067
S00099,6.53,cloud;java;ml;seo,GEN,0,F,I052,I030,I048,I055,I057,I023
S00100,6.35,frontend;python;sql;surveying;backend,OBC,0,F,I054,I036,I053,I018,I055,I030
S00101,5.74,design;surveying;sql;autocad;social_media,GEN,0,F,I004,I032,I006,I057,I030,I019
S00102,6.29,social_media;seo,GEN,1,F,I012,I041,I040,I049,I043,I029
S00103,7.44,autocad;networking;social_media,OBC,0,M,I027,I021,I009,I026,I032,I004
S00104,7.77,python;backend;networking;autocad,ST,1,M,I037,I008,I014,I003,I054,I051
S00105,4,presentation;communication;backend,GEN,1,M,I015,I042,I043,I055,I054,I011
S00106,5.57,design;analysis,GEN,1,M,I028,I006,I063,I011,I060,I033
S00107,8.44,communication;presentation,OBC,0,M,I042,I015,I043,I062,I010,I063
S00108,7.46,analysis;presentation;construction_management;sql;java,SC,0,M,I063,I030,I010,I044,I038,I013
S00109,6.61,analysis;design;seo;java;construction_management,ST,0,F,I049,I013,I028,I006,I005,I027
S00110,6.85,communication;networking,GEN,0,F,I045,I011,I015,I043,I068,I056
S00111,7.59,writing;sql;manufacturing,OBC,0,M,I003,I006,I010,I049,I054,I065
S00112,7.9,backend;frontend;ml;design;construction_management,GEN,0,F,I054,I057,I050,I055,I052,I003
S00113,7.31,presentation;sql;backend;financial_modeling,GEN,0,F,I044,I053,I057,I010,I054,I035
S00114,6.17,analysis;cad_modelling;java,GEN,0,M,I028,I006,I018,I030,I063,I068
S00115,6.44,design;autocad,GEN,0,F,I059,I004,I024,I025,I001,I021
S00116,6.98,writing;communication;autocad;cad_modelling,GEN,1,F,I043,I049,I001,I015,I042,I067
S00117,7.55,networking;python;surveying;backend;pcb_design,OBC,0,F,I037,I018,I051,I003,I054,I055
S00118,7.02,communication;social_media;frontend;writing;python,OBC,0,F,I036,I043,I066,I049,I014,I045
S00119,7.32,sql;construction_management;ml;python;seo,GEN,0,F,I003,I064,I057,I063,I055,I056
S00120,9.09,writing;financial_modeling,OBC,1,F,I043,I049,I067,I020,I012,I010
S00121,8.16,communication;sql,OBC,0,M,I067,I031,I065,I066,I010,I054
S00122,6.99,cad_modelling;autocad;manufacturing;design,SC,1,M,I006,I047,I001,I021,I028,I059
S00123,7.98,networking;social_media;cad_modelling;cloud;seo,OBC,1,M,I050,I052,I006,I047,I028,I056
S00124,6.85,backend;surveying;cad_modelling;construction_management;design,GEN,1,F,I032,I047,I006,I028,I004,I013
S00125,7.41,seo;writing;sql;java,GEN,0,M,I030,I049,I043,I018,I054,I010
S00126,6.44,design;social_media;analysis,OBC,1,F,I028,I006,I011,I062,I063,I047
S00127,7.24,pcb_design;backend;presentation,ST,1,M,I054,I042,I018,I057,I010,I053
S00128,6.49,python;seo,GEN,0,F,I049,I036,I003,I051,I018,I030
S00129,6.53,analysis;design;networking;ml;sql,OBC,1,F,I003,I028,I050,I057,I054,I006
S00130,7.23,analysis;pcb_design,GEN,0,M,I060,I026,I064,I017,I069,I007
S00131,6.71,communication;analysis,OBC,1,F,I062,I068,I011,I045,I015,I042
S00132,6.17,design;analysis;construction_management;surveying,OBC,0,M,I013,I028,I032,I006,I019,I004
S00133,7.5,ml;financial_modeling,OBC,0,F,I056,I052,I003,I055,I051,I050
S00134,9.15,autocad;design;cad_modelling;backend;networking,OBC,0,F,I021,I006,I054,I028,I001,I047
S00135,6.23,excel;cad_modelling,OBC,0,M,I015,I006,I047,I039,I045,I028
S00136,9.19,sql;networking;cad_modelling;backend,GEN,1,M,I054,I053,I003,I057,I037,I006
S00137,6.19,cloud;backend,OBC,1,F,I037,I046,I055,I057,I053,I014
S00138,8.88,excel;autocad;networking;presentation,GEN,0,M,I020,I015,I042,I019,I037,I007
S00139,7.49,design;social_media;frontend;presentation,GEN,0,F,I049,I010,I006,I040,I028,I047
S00140,5.68,analysis;python;manufacturing;design;writing,OBC,0,M,I033,I008,I034,I060,I006,I007
S00141,5.29,manufacturing;analysis;autocad;frontend;python,GEN,0,F,I006,I036,I063,I059,I034,I002
S00142,8.35,frontend;ml;backend,OBC,0,F,I014,I023,I046,I057,I050,I054
S00143,6.89,frontend;cloud;java,GEN,0,M,I030,I052,I055,I057,I054,I018
S00144,7.01,java;analysis,GEN,0,O,I062,I048,I018,I068,I030,I045
S00145,7.05,python;sql;backend;construction_management;communication,SC,0,F,I054,I053,I030,I003,I018,I055
S00146,6.55,analysis;seo,OBC,0,M,I031,I022,I063,I068,I045,I011
S00147,7.51,backend;python;networking;surveying;excel,OBC,0,F,I054,I056,I051,I037,I003,I018
S00148,5.47,cloud;seo,OBC,1,F,I057,I049,I055,I053,I052,I030
S00149,8.28,cloud;pcb_design;excel;networking,OBC,0,M,I057,I026,I058,I055,I050,I003
S00150,8.55,networking;analysis;pcb_design,GEN,0,M,I045,I007,I003,I063,I050,I054
S00151,9.06,sql;financial_modeling;analysis;java,ST,0,M,I031,I030,I023,I038,I064,I044
S00152,8.76,manufacturing;analysis,OBC,0,F,I059,I006,I031,I047,I028,I045
S00153,7.65,manufacturing;design;analysis;seo,OBC,0,M,I006,I034,I041,I033,I060,I007
S00154,5.24,manufacturing;excel;sql;networking,GEN,0,M,I054,I003,I039,I042,I050,I045
S00155,6.73,seo;writing;communication;autocad;construction_management,GEN,0,M,I043,I067,I032,I027,I004,I061
S00156,7.72,analysis;seo,OBC,0,F,I062,I043,I045,I011,I049,I063
S00157,5.62,excel;seo;communication,OBC,0,M,I042,I041,I045,I062,I043,I015
S00158,5.3,frontend;pcb_design;java,GEN,0,M,I023,I050,I030,I048,I018,I036
S00159,6.91,analysis;surveying;autocad;manufacturing;presentation,GEN,1,M,I059,I019,I063,I006,I013,I002
S00160,7.37,design;excel;communication,GEN,1,M,I015,I062,I041,I045,I042,I043
S00161,6.06,seo;financial_modeling;excel;communication;cad_modelling,OBC,1,M,I041,I012,I020,I062,I045,I042
S00162,6.94,autocad;manufacturing,GEN,0,F,I001,I006,I021,I047,I059,I007
S00163,7.96,manufacturing;analysis;frontend,GEN,1,F,I006,I023,I064,I034,I014,I017
S00164,6.21,sql;python;communication;manufacturing,GEN,1,M,I003,I030,I055,I011,I062,I066
S00165,6.89,sql;excel,GEN,1,F,I039,I020,I041,I023,I038,I044
S00166,6.3,analysis;autocad;surveying;seo,GEN,0,F,I019,I062,I043,I045,I002,I027
S00167,6.78,communication;excel,SC,0,M,I015,I045,I062,I042,I011,I068
S00168,6.04,analysis;presentation,GEN,1,O,I017,I069,I063,I038,I064,I065
S00169,6.24,manufacturing;pcb_design;python;communication;networking,OBC,1,F,I056,I051,I008,I003,I007,I018
S00170,6.35,communication;surveying;financial_modeling;presentation,SC,1,M,I042,I015,I043,I010,I020,I063
S00171,5.92,design;communication,SC,0,M,I041,I029,I033,I034,I008,I066
S00172,8.69,seo;manufacturing;cad_modelling;communication,GEN,0,F,I043,I006,I047,I022,I021,I041
S00173,7.08,pcb_design;autocad;seo;communication;design,OBC,0,F,I043,I049,I041,I068,I011,I007
S00174,6.81,backend;sql,OBC,1,F,I053,I054,I057,I031,I055,I010
S00175,8.91,frontend;sql,OBC,0,M,I023,I054,I014,I044,I046,I038
S00176,5.6,python;cloud;communication;sql,ST,1,F,I030,I003,I055,I053,I058,I057
S00177,6.17,design;analysis;writing,GEN,0,M,I028,I006,I049,I011,I062,I068
S00178,6.42,cloud;java,GEN,1,M,I030,I057,I058,I018,I053,I052
S00179,7.76,communication;excel;sql;ml,GEN,0,F,I067,I039,I057,I042,I003,I045
S00180,7.75,construction_management;sql;cloud,OBC,1,F,I053,I057,I030,I058,I052,I054
S00181,6.34,cad_modelling;manufacturing;autocad;cloud;python,GEN,1,F,I001,I021,I008,I016,I037,I034
S00182,7.57,design;excel,ST,0,M,I006,I015,I039,I047,I028,I045
S00183,5.37,java;surveying;python;manufacturing,GEN,1,F,I034,I008,I016,I018,I030,I004
S00184,7.05,excel;sql;presentation,OBC,0,M,I015,I010,I042,I039,I044,I020
S00185,5.34,seo;design,GEN,0,M,I049,I006,I043,I041,I047,I028
S00186,6.35,design;frontend,OBC,1,M,I033,I026,I001,I060,I009,I021
S00187,8.01,ml;presentation;backend;manufacturing,GEN,1,F,I063,I055,I057,I006,I047,I052
S00188,6.42,writing;cad_modelling;sql;social_media,GEN,0,O,I067,I066,I040,I065,I001,I064
S00189,8.44,cloud;surveying;pcb_design;networking,GEN,0,F,I055,I030,I003,I057,I052,I026
S00190,7.58,networking;presentation;analysis;python;backend,OBC,0,M,I037,I063,I017,I064,I069,I008
S00191,6.8,manufacturing;frontend,OBC,0,F,I059,I050,I054,I006,I052,I036
S00192,6.4,python;seo;cloud;sql;java,SC,1,M,I030,I053,I055,I003,I057,I018
S00193,6.59,analysis;java,ST,1,M,I069,I023,I017,I064,I038,I030
S00194,6.58,sql;excel;financial_modeling,GEN,0,F,I039,I044,I057,I042,I010,I003
S00195,7.87,seo;communication;design,ST,1,F,I043,I041,I049,I068,I029,I011
S00196,6.67,python;backend;manufacturing;construction_management;social_media,GEN,0,M,I014,I037,I008,I034,I016,I018
S00197,5.99,communication;presentation;financial_modeling;social_media,GEN,1,M,I043,I015,I042,I049,I020,I063
S00198,7.02,design;seo;writing,OBC,1,F,I049,I043,I047,I006,I012,I040
S00199,7.83,networking;pcb_design;python;cad_modelling;construction_management,GEN,0,M,I003,I056,I051,I055,I063,I036
S00200,4.79,communication;excel,GEN,0,F,I015,I042,I062,I045,I043,I011
S00201,7.63,design;presentation,GEN,0,F,I049,I006,I047,I010,I043,I015
S00202,6.15,design;pcb_design,GEN,0,F,I007,I060,I047,I049,I006,I028
S00203,7.07,java;python,OBC,0,M,I030,I018,I036,I051,I055,I063
S00204,8.04,analysis;cad_modelling,GEN,1,F,I006,I028,I047,I045,I011,I062
S00205,6.49,analysis;financial_modeling;manufacturing,SC,0,F,I006,I011,I045,I068,I047,I028
S00206,6.73,design;manufacturing;autocad,OBC,0,F,I059,I001,I021,I006,I047,I009
S00207,7.76,presentation;analysis,GEN,0,F,I063,I011,I045,I010,I017,I043
S00208,6.08,design;autocad;manufacturing;presentation;communication,GEN,0,M,I001,I006,I042,I043,I021,I049
S00209,7.41,analysis;sql;networking,SC,1,F,I054,I003,I050,I053,I063,I062
S00210,5.22,presentation;pcb_design,SC,0,F,I024,I015,I010,I042,I043,I049
S00211,8.5,excel;presentation;sql,SC,0,M,I039,I015,I010,I042,I003,I020
S00212,5.87,manufacturing;frontend;communication;pcb_design,GEN,0,M,I011,I007,I068,I006,I047,I036
S00213,6.21,presentation;financial_modeling;autocad,GEN,0,M,I059,I020,I035,I044,I042,I049
S00214,7.47,ml;cloud;backend;financial_modeling,GEN,0,F,I057,I055,I053,I052,I037,I046
S00215,6.49,manufacturing;presentation;sql;ml;analysis,GEN,0,F,I063,I003,I069,I006,I010,I057
S00216,6.01,design;communication,GEN,0,F,I062,I045,I068,I042,I011,I047
S00217,6.84,networking;analysis,GEN,0,M,I050,I011,I045,I003,I062,I051
S00218,5.71,presentation;communication,GEN,0,F,I042,I043,I015,I010,I062,I068
S00219,5.7,frontend;java;design;ml;backend,ST,0,F,I023,I048,I018,I057,I055,I054
S00220,4.3,design;ml;sql;cad_modelling;writing,OBC,0,F,I067,I028,I003,I006,I049,I047
S00221,8.13,java;ml;presentation;social_media;pcb_design,OBC,0,M,I048,I063,I023,I024,I069,I042
S00222,5.89,design;java;surveying;autocad;sql,GEN,0,M,I032,I030,I004,I047,I021,I039
S00223,9.57,sql;seo;manufacturing,GEN,1,M,I058,I054,I010,I049,I043,I039
S00224,7.2,communication;frontend,OBC,1,M,I014,I023,I067,I066,I029,I065
S00225,6.46,sql;java;frontend;design,OBC,1,M,I054,I023,I030,I006,I048,I003
S00226,8.5,financial_modeling;cad_modelling,OBC,0,F,I047,I028,I006,I045,I015,I035
S00227,4.93,manufacturing;design;autocad;social_media;presentation,OBC,1,M,I001,I021,I007,I008,I009,I034
S00228,5.59,cloud;sql;java;autocad,OBC,0,F,I030,I057,I058,I053,I055,I023
S00229,6.22,networking;java;ml,GEN,0,M,I056,I003,I051,I050,I048,I030
S00230,7.94,manufacturing;design;autocad;financial_modeling;frontend,OBC,1,F,I059,I001,I021,I047,I006,I034
S00231,8.27,analysis;manufacturing;cad_modelling,GEN,1,M,I006,I047,I028,I021,I068,I063
S00232,5.87,sql;social_media;ml;cad_modelling;backend,GEN,1,F,I057,I054,I003,I055,I053,I067
S00233,7.49,ml;backend,OBC,1,F,I057,I055,I050,I051,I063,I003
S00234,6.64,autocad;construction_management,GEN,0,M,I032,I004,I019,I027,I047,I028
S00235,7.33,writing;design,ST,0,M,I049,I059,I024,I040,I022,I006
S00236,5.75,java;cloud;manufacturing;social_media,GEN,0,M,I030,I055,I057,I018,I053,I052
S00237,6.48,presentation;sql,OBC,1,M,I010,I031,I044,I058,I039,I003
S00238,8.05,social_media;presentation;analysis;seo,SC,1,F,I043,I063,I049,I017,I045,I010
S00239,7.61,sql;presentation;financial_modeling;seo;python,OBC,0,F,I044,I064,I020,I035,I065,I003
S00240,4.92,backend;surveying;manufacturing;seo;frontend,GEN,1,F,I054,I047,I006,I018,I052,I043
S00241,8.7,backend;autocad,GEN,0,F,I046,I004,I002,I019,I001,I021
S00242,7.4,financial_modeling;presentation;analysis;seo;communication,GEN,0,F,I043,I068,I042,I063,I015,I049
S00243,7.11,analysis;autocad,SC,0,M,I063,I019,I002,I068,I006,I027
S00244,7.31,autocad;frontend,GEN,0,F,I036,I054,I052,I050,I058,I051
S00245,5.29,frontend;cloud,OBC,1,M,I052,I046,I053,I054,I058,I036
S00246,7.17,pcb_design;communication,GEN,0,M,I011,I043,I062,I045,I068,I042
S00247,6.82,cloud;java,GEN,0,M,I030,I018,I058,I052,I053,I057
S00248,6.22,sql;excel;analysis,OBC,0,F,I064,I038,I069,I039,I062,I045
S00249,7.2,backend;sql;ml;analysis;excel,GEN,1,F,I064,I069,I057,I038,I067,I023
S00250,6.02,analysis;manufacturing;python;sql;excel,OBC,0,M,I064,I063,I039,I006,I062,I045
S00251,8.03,python;design;construction_management,GEN,1,M,I032,I060,I034,I004,I033,I008
S00252,7.98,pcb_design;analysis;design;autocad;manufacturing,ST,0,F,I059,I006,I007,I024,I060,I021
S00253,5.16,communication;ml;seo,OBC,0,M,I043,I045,I055,I061,I003,I041
S00254,5.72,manufacturing;cad_modelling;design;seo;presentation,OBC,1,M,I049,I006,I047,I001,I043,I021
S00255,6.27,analysis;ml;presentation,SC,0,M,I063,I069,I031,I064,I017,I057
S00256,6.39,frontend;cloud;networking;analysis;financial_modeling,SC,1,M,I054,I052,I050,I036,I062,I011
S00257,5.59,cad_modelling;excel;financial_modeling,SC,1,M,I042,I006,I020,I039,I047,I045
S00258,8.05,java;ml,OBC,0,M,I048,I023,I055,I051,I056,I057
S00259,7.49,backend;analysis,OBC,0,F,I045,I057,I063,I055,I011,I054
S00260,7.18,surveying;construction_management,OBC,1,F,I025,I032,I004,I013,I019,I005
S00261,6.42,design;seo;python;backend,GEN,0,F,I049,I018,I055,I056,I033,I037
S00262,8.15,presentation;seo;analysis,GEN,1,F,I043,I063,I049,I069,I011,I042
S00263,6.3,sql;analysis;writing,SC,1,F,I067,I068,I064,I039,I038,I062
S00264,7.71,autocad;surveying;analysis;presentation;cloud,GEN,0,F,I059,I019,I063,I027,I004,I025
S00265,6.44,networking;ml;construction_management;communication;java,GEN,0,F,I051,I050,I048,I056,I003,I061
S00266,6.93,communication;networking,ST,1,F,I056,I051,I011,I042,I003,I015
S00267,7.62,networking;backend;sql;construction_management,GEN,0,F,I054,I057,I053,I003,I031,I037
S00268,7.38,design;excel;cad_modelling,OBC,0,M,I001,I021,I041,I047,I006,I028
S00269,7.83,cad_modelling;autocad;cloud;python;pcb_design,SC,1,M,I030,I055,I006,I047,I036,I056
S00270,7.43,seo;design,GEN,1,F,I049,I028,I041,I043,I047,I006
S00271,5.92,analysis;python,ST,0,M,I064,I063,I037,I069,I038,I014
S00272,7.94,analysis;pcb_design;python,SC,1,M,I024,I060,I063,I031,I064,I033
S00273,6.57,communication;python;construction_management,GEN,1,M,I051,I036,I018,I055,I015,I030
S00274,6.69,presentation;sql;communication;python;social_media,GEN,0,M,I063,I065,I015,I043,I003,I010
S00275,6.11,java;networking;cloud;surveying,OBC,1,F,I030,I037,I051,I054,I058,I018
S00276,8.45,construction_management;autocad;surveying;social_media;cloud,GEN,1,F,I004,I032,I019,I052,I030,I058
S00277,7.2,networking;analysis;design;communication;python,ST,0,M,I011,I051,I028,I033,I062,I045
S00278,7.27,python;backend;communication,OBC,1,F,I018,I055,I014,I037,I015,I036
S00279,8.07,java;backend;sql,GEN,0,M,I030,I053,I018,I057,I054,I055
S00280,6.48,excel;analysis,ST,0,M,I069,I045,I062,I012,I064,I041
S00281,6.97,sql;autocad,SC,1,M,I001,I002,I044,I032,I023,I021
S00282,7.23,autocad;manufacturing;cad_modelling,GEN,0,M,I001,I021,I006,I047,I008,I009
S00283,5.88,python;java,SC,0,M,I030,I018,I036,I056,I051,I055
S00284,7.38,excel;surveying,OBC,1,M,I015,I039,I042,I045,I004,I019
S00285,6.47,cad_modelling;python,OBC,1,M,I014,I064,I037,I001,I021,I030
S00286,6.36,networking;sql,OBC,1,F,I003,I054,I050,I030,I057,I058
S00287,8.42,social_media;sql;ml;analysis,OBC,0,F,I003,I063,I057,I064,I062,I067
S00288,6.45,seo;autocad;construction_management;cad_modelling;excel,ST,1,M,I001,I004,I021,I039,I042,I041
S00289,8.55,design;manufacturing;analysis;excel;ml,OBC,1,M,I006,I045,I047,I069,I063,I062
S00290,8.8,cloud;financial_modeling;excel;presentation;manufacturing,GEN,0,M,I020,I015,I042,I035,I059,I044
S00291,6.39,excel;python;communication;presentation;pcb_design,OBC,0,F,I042,I015,I063,I062,I043,I045
S00292,6.61,backend;frontend;communication,OBC,0,F,I054,I014,I046,I053,I045,I068
S00293,7.29,sql;surveying;analysis,SC,0,M,I031,I013,I025,I064,I019,I038
S00294,7.33,excel;analysis,OBC,0,F,I069,I062,I045,I064,I038,I041
S00295,6.82,analysis;ml;financial_modeling;seo;design,OBC,1,M,I060,I041,I064,I033,I069,I049
S00296,8.79,excel;social_media;seo,GEN,1,F,I045,I015,I039,I042,I041,I012
S00297,6.48,social_media;seo;design;presentation,GEN,0,M,I049,I043,I028,I006,I015,I047
S00298,7.22,networking;ml;analysis;backend,GEN,0,F,I057,I055,I051,I063,I003,I054
