student_id,internship_id,skills,req_skills,gpa,stipend,match,accept
S01775,I030,autocad communication python frontend backend manufacturing,sql frontend,7.38,5500,0,0
S00404,I006,autocad writing sql frontend analysis,sql backend,8.78,5000,1,0
S01247,I030,presentation ml networking analysis design cloud,sql frontend,7.97,5500,0,0
S00207,I014,excel manufacturing presentation ml,analysis ml networking python,6.71,5000,0,0
S01320,I020,presentation backend ml design networking,networking excel,8.36,5000,0,0
S00702,I031,analysis presentation backend design writing,communication sql,9.86,4500,1,0
S00542,I003,communication cloud autocad writing,networking manufacturing frontend java python,5.08,5500,0,0
S00227,I002,frontend cloud python sql design ml,python sql,7.88,5500,1,0
S01365,I031,writing manufacturing presentation communication autocad,communication sql,6.07,4500,0,0
S00946,I029,frontend ml excel autocad,design java excel,10.0,5500,0,0
S00391,I037,ml networking autocad cloud communication,java manufacturing,8.87,5000,0,0
S00275,I015,analysis frontend presentation,frontend analysis,7.38,5500,0,0
S01630,I009,java python communication frontend analysis,sql excel analysis python,9.03,5500,1,1
S00846,I034,sql design autocad communication python,python networking,6.83,5000,0,0
S01346,I019,writing java communication design ml cloud,design writing java,5.62,5500,0,0
S01530,I039,java python backend networking design communication,cloud ml writing,8.65,4500,0,0
S01551,I023,java backend presentation excel manufacturing,manufacturing presentation design,7.55,5500,0,0
S00292,I019,frontend ml excel communication analysis design,design writing java,6.55,5500,0,0
S00418,I006,analysis manufacturing writing design,sql backend,7.67,5000,0,0
S01125,I029,manufacturing python design,design java excel,6.81,5500,0,0
S01161,I013,java backend cloud manufacturing,excel backend,6.6,5500,0,0
S00415,I034,presentation communication backend analysis,python networking,6.9,5000,0,0
S00573,I013,excel python autocad frontend,excel backend,7.5,5500,0,0
S00920,I035,excel writing networking python ml,java autocad communication sql,6.62,4500,0,0
S01557,I002,autocad analysis python sql manufacturing java,python sql,7.42,5500,0,0
S00236,I014,cloud backend presentation analysis frontend writing,analysis ml networking python,8.99,5000,0,0
S01750,I008,writing java ml networking,networking ml manufacturing,8.44,5500,1,0
S00251,I033,networking cloud writing,backend excel java,8.21,5000,0,0
S01276,I028,backend python manufacturing,python design java presentation networking,6.04,4500,0,0
S01637,I022,writing excel networking communication,networking java,7.45,4500,1,1
S00236,I029,cloud backend presentation analysis frontend writing,design java excel,8.99,5500,1,0
S01708,I012,excel cloud networking communication,analysis frontend sql,6.99,4500,0,0
S00657,I029,python presentation design,design java excel,9.28,5500,1,0
S00034,I036,sql java design communication,frontend autocad,8.17,5500,0,0
S00167,I029,ml backend autocad design,design java excel,7.58,5500,0,0
S00107,I013,autocad sql ml,excel backend,7.51,5500,0,0
S01057,I005,frontend manufacturing analysis autocad communication backend,presentation sql,6.19,4500,0,0
S01617,I023,analysis frontend writing autocad cloud java,manufacturing presentation design,7.95,5500,1,0
S01346,I026,writing java communication design ml cloud,networking analysis sql manufacturing cloud,5.62,4500,0,0
S01306,I022,ml presentation networking backend design java,networking java,9.04,4500,0,0
S00366,I021,sql python manufacturing backend networking,ml writing,7.36,4500,0,0
S01363,I034,manufacturing java frontend sql design,python networking,6.9,5000,0,0
S01843,I007,writing analysis manufacturing communication networking,cloud networking backend communication ml,8.47,4500,1,1
S00001,I003,java design ml python manufacturing,networking manufacturing frontend java python,8.05,5500,1,1
S01073,I025,frontend excel autocad cloud python writing,networking excel,6.14,5000,0,0
S00665,I038,manufacturing presentation networking,cloud autocad analysis python sql,9.25,4500,0,0
S01804,I007,java manufacturing sql python excel,cloud networking backend communication ml,7.97,4500,1,0
S00640,I013,communication cloud java excel analysis,excel backend,7.88,5500,0,0
S01992,I010,manufacturing sql autocad excel python design,manufacturing design backend,6.61,5500,0,0
S01409,I016,autocad ml analysis cloud design,backend networking,7.53,5000,0,0
S00536,I010,sql autocad backend analysis frontend manufacturing,manufacturing design backend,6.73,5500,0,0
S00665,I040,manufacturing presentation networking,java cloud,9.25,4500,0,0
S00829,I028,cloud ml frontend java presentation,python design java presentation networking,7.7,4500,1,1
S00902,I007,backend communication java cloud,cloud networking backend communication ml,6.12,4500,0,0
S01518,I006,ml java design manufacturing,sql backend,7.85,5000,0,0
S01951,I018,cloud autocad writing python analysis,java backend networking,7.69,5000,0,0
S00803,I029,writing frontend autocad ml cloud,design java excel,6.35,5500,0,0
S01468,I015,analysis backend excel python design,frontend analysis,7.56,5500,0,0
S01897,I003,presentation networking excel autocad,networking manufacturing frontend java python,6.92,5500,0,0
S01038,I024,writing frontend sql communication ml python,autocad analysis writing python backend,8.49,5000,1,0
S00198,I009,python ml analysis frontend,sql excel analysis python,7.34,5500,0,0
S00504,I018,sql writing manufacturing,java backend networking,7.87,5000,0,0
S01248,I038,manufacturing python presentation design,cloud autocad analysis python sql,7.52,4500,0,0
S01171,I009,java manufacturing networking,sql excel analysis python,7.93,5500,1,0
S01901,I022,python cloud ml sql excel networking,networking java,9.1,4500,0,0
S00363,I027,manufacturing communication frontend python writing sql,communication design networking,9.25,4500,1,1
S00799,I013,java sql analysis presentation writing networking,excel backend,7.1,5500,1,0
S01563,I024,excel networking python cloud,autocad analysis writing python backend,7.78,5000,0,0
S00467,I015,networking ml java,frontend analysis,8.88,5500,0,0
S01452,I022,frontend ml excel communication design,networking java,7.05,4500,0,0
S00902,I011,backend communication java cloud,presentation communication excel ml cloud,6.12,5500,1,1
S01779,I005,cloud communication networking writing frontend excel,presentation sql,6.14,4500,0,0
S01444,I015,design manufacturing communication sql analysis writing,frontend analysis,9.8,5500,0,0
S01652,I001,analysis cloud java frontend,java writing sql,7.74,5000,0,0
S01700,I038,analysis writing sql,cloud autocad analysis python sql,5.8,4500,1,1
S01594,I036,ml design frontend writing analysis,frontend autocad,5.38,5500,0,0
S01966,I025,autocad python frontend manufacturing,networking excel,7.27,5000,0,0
S00847,I025,autocad sql networking excel,networking excel,6.64,5000,0,0
S01071,I001,communication frontend excel java writing sql,java writing sql,5.65,5000,0,0
S00293,I033,backend java presentation networking writing manufacturing,backend excel java,6.36,5000,0,0
S01987,I003,autocad ml backend,networking manufacturing frontend java python,5.49,5500,0,0
S01384,I009,autocad excel writing analysis,sql excel analysis python,9.02,5500,0,0
S01513,I002,ml communication cloud excel backend,python sql,7.88,5500,0,0
S00395,I016,backend excel design writing,backend networking,8.53,5000,1,1
S00958,I020,backend networking sql,networking excel,6.49,5000,0,0
S01332,I027,frontend java design cloud writing excel,communication design networking,8.71,4500,0,0
S00721,I036,autocad python analysis excel,frontend autocad,9.34,5500,0,0
S01208,I020,autocad sql analysis design,networking excel,8.15,5000,0,0
S01368,I009,excel sql cloud frontend communication java,sql excel analysis python,6.24,5500,0,0
S01315,I040,python excel java manufacturing cloud analysis,java cloud,8.23,4500,0,0
S01097,I005,frontend java backend presentation writing,presentation sql,8.71,4500,1,1
S01992,I040,manufacturing sql autocad excel python design,java cloud,6.61,4500,0,0
S00888,I007,ml design analysis cloud,cloud networking backend communication ml,8.85,4500,1,0
S01209,I007,manufacturing networking autocad frontend python,cloud networking backend communication ml,7.61,4500,1,0
S00165,I016,java autocad communication,backend networking,6.42,5000,0,0
S01128,I037,communication presentation excel cloud design,java manufacturing,8.06,5000,1,1
S01269,I009,sql java presentation,sql excel analysis python,7.52,5500,0,0
S01191,I037,java analysis presentation writing,java manufacturing,7.91,5000,0,0
S01388,I025,java writing presentation,networking excel,6.74,5000,0,0
S01407,I002,networking communication python,python sql,6.9,5500,1,0
S00616,I035,excel manufacturing cloud design,java autocad communication sql,8.79,4500,0,0
S01764,I006,networking ml manufacturing,sql backend,8.95,5000,0,0
S01187,I001,communication networking excel,java writing sql,8.18,5000,0,0
S00898,I017,backend writing python,networking autocad,8.07,5000,1,1
S00069,I035,excel networking writing java analysis design,java autocad communication sql,7.57,4500,1,1
S00189,I038,frontend excel python,cloud autocad analysis python sql,7.86,4500,0,0
S01590,I012,frontend design manufacturing python,analysis frontend sql,6.8,4500,0,0
S01274,I013,excel analysis cloud,excel backend,5.78,5500,1,0
S01211,I014,networking ml frontend writing design manufacturing,analysis ml networking python,7.68,5000,0,0
S00406,I001,cloud analysis communication presentation design,java writing sql,7.16,5000,0,0
S01997,I014,networking ml backend,analysis ml networking python,6.28,5000,0,0
S01031,I028,analysis autocad ml communication writing,python design java presentation networking,6.72,4500,0,0
S01858,I028,backend presentation cloud,python design java presentation networking,7.87,4500,1,0
S01746,I024,design java excel,autocad analysis writing python backend,7.96,5000,0,0
S00354,I032,autocad cloud excel,sql frontend manufacturing,9.56,5000,0,0
S01718,I013,presentation design manufacturing autocad,excel backend,7.27,5500,1,0
S00088,I030,java networking python ml cloud frontend,sql frontend,7.7,5500,0,0
S01523,I035,design java excel manufacturing ml frontend,java autocad communication sql,7.87,4500,1,0
S00828,I016,frontend networking sql,backend networking,8.31,5000,1,0
S01738,I016,backend frontend manufacturing python,backend networking,8.11,5000,0,0
S01008,I022,manufacturing networking writing,networking java,8.95,4500,0,0
S00308,I018,frontend ml manufacturing,java backend networking,8.33,5000,0,0
S01002,I014,analysis networking backend excel java,analysis ml networking python,8.05,5000,0,0
S00512,I021,networking manufacturing java analysis autocad,ml writing,6.92,4500,0,0
S01285,I029,ml presentation writing communication excel frontend,design java excel,8.86,5500,0,0
S00275,I037,analysis frontend presentation,java manufacturing,7.38,5000,0,0
S00682,I007,writing presentation sql excel,cloud networking backend communication ml,6.29,4500,0,0
S01019,I006,manufacturing sql excel writing analysis presentation,sql backend,5.95,5000,0,0
S01603,I003,communication java python manufacturing presentation frontend,networking manufacturing frontend java python,9.59,5500,1,0
S00819,I019,java sql ml backend design networking,design writing java,6.35,5500,0,0
S01679,I036,sql cloud excel,frontend autocad,5.4,5500,0,0
S01758,I007,design manufacturing sql writing,cloud networking backend communication ml,7.78,4500,0,0
S00541,I007,design excel autocad frontend writing,cloud networking backend communication ml,5.91,4500,0,0
S00204,I024,manufacturing excel sql ml analysis,autocad analysis writing python backend,7.76,5000,1,1
S01190,I016,design backend communication java presentation,backend networking,6.32,5000,0,0
S01139,I037,communication analysis presentation autocad writing python,java manufacturing,5.42,5000,0,0
S00880,I031,autocad frontend manufacturing communication,communication sql,5.75,4500,1,1
S00316,I023,python sql communication,manufacturing presentation design,7.55,5500,0,0
S00959,I026,autocad excel cloud design java,networking analysis sql manufacturing cloud,8.84,4500,1,1
S01891,I019,networking backend sql writing,design writing java,8.0,5500,1,0
S01026,I009,sql python java cloud frontend,sql excel analysis python,7.63,5500,1,1
S01334,I017,communication frontend python,networking autocad,6.55,5000,1,1
S01617,I005,analysis frontend writing autocad cloud java,presentation sql,7.95,4500,0,0
S00025,I033,manufacturing backend excel java networking,backend excel java,8.31,5000,0,0
S01596,I008,analysis networking java presentation excel,networking ml manufacturing,8.43,5500,0,0
S01722,I027,writing manufacturing design excel frontend cloud,communication design networking,7.13,4500,0,0
S00061,I015,networking sql cloud,frontend analysis,5.94,5500,0,0
S01086,I016,backend communication design,backend networking,7.99,5000,0,0
S01793,I018,python presentation java cloud writing networking,java backend networking,6.29,5000,1,0
S01912,I024,networking analysis communication sql,autocad analysis writing python backend,7.42,5000,0,0
S01244,I032,networking cloud sql design,sql frontend manufacturing,8.01,5000,1,1
S01479,I038,autocad manufacturing frontend,cloud autocad analysis python sql,8.22,4500,0,0
S01741,I006,java frontend communication design excel,sql backend,7.3,5000,0,0
S00100,I022,presentation frontend communication autocad,networking java,8.37,4500,0,0
S00409,I014,design networking java autocad analysis,analysis ml networking python,6.93,5000,0,0
S00780,I015,backend presentation autocad communication,frontend analysis,7.93,5500,0,0
S00438,I027,java communication writing sql excel autocad,communication design networking,8.66,4500,1,1
S01611,I022,python networking analysis,networking java,6.28,4500,0,0
S00616,I017,excel manufacturing cloud design,networking autocad,8.79,5000,0,0
S01920,I035,writing excel analysis,java autocad communication sql,5.0,4500,0,0
S01112,I031,networking autocad design communication cloud python,communication sql,9.01,4500,1,0
S00815,I005,frontend analysis python,presentation sql,9.18,4500,0,0
S00197,I019,cloud backend presentation python sql autocad,design writing java,8.57,5500,0,0
S01185,I001,autocad cloud communication excel frontend,java writing sql,7.0,5000,0,0
S00186,I012,writing excel manufacturing,analysis frontend sql,8.39,4500,0,0
S00651,I024,presentation frontend java,autocad analysis writing python backend,8.72,5000,0,0
S00381,I031,backend ml design frontend analysis,communication sql,7.2,4500,0,0
S00607,I006,analysis communication manufacturing python writing cloud,sql backend,8.69,5000,0,0
S00876,I029,excel presentation ml backend,design java excel,9.2,5500,0,0
S01198,I017,networking design autocad backend analysis,networking autocad,6.4,5000,0,0
S00513,I002,frontend communication presentation,python sql,8.25,5500,0,0
S01567,I009,manufacturing java autocad backend sql frontend,sql excel analysis python,7.27,5500,1,0
S00543,I031,manufacturing frontend autocad backend writing,communication sql,6.38,4500,0,0
S00307,I030,backend python excel frontend,sql frontend,7.61,5500,1,0
S00822,I032,analysis autocad cloud frontend communication,sql frontend manufacturing,7.2,5000,0,0
S01471,I016,sql presentation frontend design ml backend,backend networking,6.83,5000,0,0
S00385,I006,backend design frontend manufacturing,sql backend,7.72,5000,1,1
S01151,I035,networking excel ml,java autocad communication sql,5.0,4500,0,0
S00568,I021,excel cloud python backend writing frontend,ml writing,5.0,4500,0,0
S00005,I015,cloud ml presentation writing,frontend analysis,9.24,5500,0,0
S01246,I037,autocad backend excel java networking,java manufacturing,6.77,5000,0,0
S01050,I040,excel cloud design,java cloud,7.62,4500,0,0
S01024,I040,presentation writing design autocad,java cloud,6.67,4500,0,0
S00446,I010,analysis backend ml,manufacturing design backend,9.45,5500,1,1
S00172,I031,networking cloud excel java manufacturing analysis,communication sql,8.15,4500,1,0
S00875,I026,networking manufacturing presentation backend analysis,networking analysis sql manufacturing cloud,9.57,4500,1,1
S01577,I039,manufacturing communication presentation excel writing analysis,cloud ml writing,6.65,4500,0,0
S01078,I010,excel analysis cloud,manufacturing design backend,7.51,5500,1,1
S01036,I011,communication design sql,presentation communication excel ml cloud,7.66,5500,0,0
S01659,I016,cloud sql analysis ml java backend,backend networking,6.84,5000,0,0
S00185,I031,manufacturing python backend design communication java,communication sql,8.41,4500,0,0
S01926,I014,sql communication backend presentation networking writing,analysis ml networking python,7.34,5000,0,0
S01962,I005,communication python cloud,presentation sql,7.43,4500,1,1
S00929,I018,presentation sql python,java backend networking,7.62,5000,0,0
S00096,I037,communication sql frontend design,java manufacturing,6.71,5000,0,0
S01006,I010,frontend sql analysis presentation excel,manufacturing design backend,9.01,5500,1,0
S01999,I004,java cloud communication python,excel sql design autocad,7.88,4500,0,0
S01212,I040,presentation writing python,java cloud,7.56,4500,0,0
S01264,I010,design networking ml cloud,manufacturing design backend,8.95,5500,1,1
S01948,I014,cloud frontend analysis python networking autocad,analysis ml networking python,6.21,5000,0,0
S00588,I034,communication presentation cloud ml,python networking,8.2,5000,1,1
S00192,I008,analysis autocad design writing networking,networking ml manufacturing,9.8,5500,1,1
S00259,I012,cloud design excel,analysis frontend sql,5.63,4500,0,0
S01839,I023,manufacturing sql backend java frontend,manufacturing presentation design,8.23,5500,0,0
S00240,I040,java cloud excel,java cloud,7.55,4500,0,0
S00320,I013,writing java excel,excel backend,9.09,5500,0,0
S00472,I026,autocad python communication,networking analysis sql manufacturing cloud,8.48,4500,0,0
S01367,I019,excel python frontend backend,design writing java,8.39,5500,0,0
S00741,I018,java ml python,java backend networking,7.93,5000,1,1
S01047,I029,networking backend autocad writing ml manufacturing,design java excel,8.55,5500,0,0
S00494,I007,manufacturing presentation autocad analysis,cloud networking backend communication ml,8.81,4500,1,0
S01247,I023,presentation ml networking analysis design cloud,manufacturing presentation design,7.97,5500,0,0
S00351,I022,networking java python,networking java,8.33,4500,0,0
S00685,I037,design python writing manufacturing communication ml,java manufacturing,6.42,5000,0,0
S01543,I038,java networking backend ml cloud manufacturing,cloud autocad analysis python sql,6.68,4500,0,0
S00034,I040,sql java design communication,java cloud,8.17,4500,0,0
S01422,I013,networking java ml,excel backend,8.1,5500,1,0
S01673,I005,analysis backend excel python java writing,presentation sql,8.75,4500,0,0
S00151,I020,presentation analysis java,networking excel,6.11,5000,0,0
S01041,I036,presentation sql design,frontend autocad,7.36,5500,0,0
S00860,I001,excel manufacturing presentation backend analysis cloud,java writing sql,9.71,5000,0,0
S00347,I011,analysis ml networking backend cloud presentation,presentation communication excel ml cloud,8.64,5500,1,1
S00122,I033,communication java python,backend excel java,7.67,5000,0,0
S01587,I017,java presentation cloud,networking autocad,7.41,5000,1,0
S00661,I010,autocad analysis cloud java manufacturing networking,manufacturing design backend,7.17,5500,0,0
S00766,I006,autocad writing frontend communication,sql backend,7.13,5000,0,0
S01237,I032,writing networking java excel,sql frontend manufacturing,5.07,5000,0,0
S01025,I040,sql python communication,java cloud,5.44,4500,0,0
S01530,I015,java python backend networking design communication,frontend analysis,8.65,5500,1,1
S01355,I018,cloud presentation sql java,java backend networking,7.25,5000,0,0
S00109,I007,cloud frontend design backend communication,cloud networking backend communication ml,8.19,4500,0,0
S00018,I034,networking backend java,python networking,7.18,5000,0,0
S01533,I033,networking cloud autocad ml presentation,backend excel java,8.05,5000,0,0
S01842,I017,cloud networking analysis java,networking autocad,8.21,5000,1,1
S00343,I003,manufacturing cloud backend communication frontend,networking manufacturing frontend java python,6.99,5500,0,0
S01318,I017,frontend analysis autocad excel,networking autocad,6.29,5000,1,1
S00388,I017,python writing ml,networking autocad,6.9,5000,0,0
S01609,I030,frontend writing cloud excel,sql frontend,6.83,5500,0,0
S01752,I004,writing frontend communication networking backend,excel sql design autocad,8.68,4500,0,0
S00630,I036,frontend sql design backend,frontend autocad,7.12,5500,0,0
S00881,I002,excel communication manufacturing sql,python sql,8.06,5500,1,1
S01906,I016,communication sql backend ml analysis,backend networking,8.81,5000,1,0
S00482,I033,cloud java backend writing analysis,backend excel java,6.66,5000,1,0
S00502,I024,communication sql manufacturing,autocad analysis writing python backend,7.07,5000,0,0
S01186,I003,autocad networking design analysis communication manufacturing,networking manufacturing frontend java python,9.1,5500,1,0
S01520,I004,communication java python networking backend cloud,excel sql design autocad,8.17,4500,1,1
S01360,I021,sql cloud design backend python java,ml writing,5.91,4500,0,0
S01995,I002,java communication analysis,python sql,9.01,5500,0,0
S00176,I032,analysis sql excel networking,sql frontend manufacturing,8.43,5000,1,1
S00603,I031,communication writing backend manufacturing networking,communication sql,6.97,4500,1,0
S01125,I028,manufacturing python design,python design java presentation networking,6.81,4500,0,0
S01150,I019,design communication sql frontend python excel,design writing java,6.06,5500,0,0
S00759,I038,autocad java backend ml sql,cloud autocad analysis python sql,7.57,4500,0,0
S00072,I009,sql presentation autocad ml networking,sql excel analysis python,7.83,5500,1,0
S01252,I020,presentation autocad design analysis writing communication,networking excel,8.02,5000,0,0
S00552,I033,communication writing cloud sql,backend excel java,7.89,5000,1,1
S00191,I040,writing analysis presentation python backend,java cloud,6.6,4500,0,0
S00869,I026,excel presentation analysis backend,networking analysis sql manufacturing cloud,7.41,4500,0,0
S01513,I038,ml communication cloud excel backend,cloud autocad analysis python sql,7.88,4500,0,0
S01832,I024,frontend manufacturing python autocad design sql,autocad analysis writing python backend,7.83,5000,0,0
S00318,I006,presentation ml autocad java,sql backend,6.87,5000,0,0
S00159,I015,autocad frontend cloud presentation writing python,frontend analysis,5.0,5500,0,0
S00280,I001,cloud python manufacturing frontend writing,java writing sql,9.0,5000,0,0
S01827,I034,networking excel writing analysis,python networking,5.66,5000,0,0
S01488,I017,manufacturing excel sql communication writing,networking autocad,8.27,5000,1,1
S00793,I021,communication java sql python,ml writing,9.87,4500,0,0
S00772,I036,frontend excel python sql,frontend autocad,5.87,5500,1,0
S01685,I004,java analysis writing manufacturing sql autocad,excel sql design autocad,8.31,4500,0,0
S00172,I015,networking cloud excel java manufacturing analysis,frontend analysis,8.15,5500,0,0
S00589,I010,manufacturing communication python excel,manufacturing design backend,8.95,5500,0,0
S00242,I037,design excel java cloud analysis autocad,java manufacturing,8.19,5000,0,0
S01921,I010,analysis python backend sql java writing,manufacturing design backend,7.26,5500,0,0
S00463,I017,writing autocad design java analysis,networking autocad,8.53,5000,0,0
S00023,I004,autocad ml presentation,excel sql design autocad,6.04,4500,0,0
S00624,I004,writing analysis java excel frontend,excel sql design autocad,8.02,4500,0,0
S01385,I005,ml networking manufacturing autocad analysis writing,presentation sql,6.95,4500,0,0
S01209,I031,manufacturing networking autocad frontend python,communication sql,7.61,4500,0,0
S00053,I006,autocad java manufacturing analysis excel,sql backend,8.51,5000,0,0
S01151,I024,networking excel ml,autocad analysis writing python backend,5.0,5000,0,0
S00426,I037,presentation communication analysis ml,java manufacturing,6.42,5000,1,0
S01889,I026,backend manufacturing cloud communication,networking analysis sql manufacturing cloud,6.85,4500,0,0
S00246,I036,manufacturing excel autocad cloud java,frontend autocad,8.91,5500,0,0
S00967,I038,java python sql writing,cloud autocad analysis python sql,8.46,4500,0,0
S00043,I008,backend python analysis,networking ml manufacturing,7.9,5500,1,1
S01037,I037,backend python java,java manufacturing,9.27,5000,0,0
S01816,I002,communication frontend backend java networking,python sql,6.41,5500,0,0
S00221,I021,presentation ml manufacturing communication cloud,ml writing,9.87,4500,1,1
S00151,I032,presentation analysis java,sql frontend manufacturing,6.11,5000,0,0
S00650,I002,frontend communication autocad backend,python sql,7.44,5500,0,0
S01812,I020,design java sql communication backend analysis,networking excel,6.92,5000,0,0
S01525,I006,cloud excel sql,sql backend,8.18,5000,1,0
S01559,I036,sql writing excel,frontend autocad,6.26,5500,0,0
S01137,I014,ml presentation backend analysis sql cloud,analysis ml networking python,6.63,5000,0,0
S01802,I022,ml communication python writing frontend backend,networking java,5.43,4500,0,0
S01192,I028,frontend java analysis,python design java presentation networking,6.51,4500,0,0
S00542,I018,communication cloud autocad writing,java backend networking,5.08,5000,0,0
S01152,I005,python networking design,presentation sql,7.7,4500,0,0
S01054,I027,design ml sql writing,communication design networking,6.37,4500,0,0
S00612,I037,writing sql ml design backend frontend,java manufacturing,9.02,5000,0,0
S01388,I006,java writing presentation,sql backend,6.74,5000,0,0
S01569,I024,frontend networking sql,autocad analysis writing python backend,7.31,5000,0,0
S01761,I009,java communication presentation ml design autocad,sql excel analysis python,8.04,5500,0,0
S00782,I009,excel analysis presentation autocad,sql excel analysis python,8.14,5500,1,0
S01026,I029,sql python java cloud frontend,design java excel,7.63,5500,0,0
S01447,I013,writing presentation design,excel backend,5.0,5500,0,0
S00079,I001,manufacturing sql python backend frontend excel,java writing sql,5.79,5000,0,0
S01550,I024,presentation autocad sql java manufacturing frontend,autocad analysis writing python backend,8.44,5000,1,0
S01494,I039,python sql ml presentation communication design,cloud ml writing,7.94,4500,1,1
S00992,I025,communication java backend frontend excel,networking excel,6.33,5000,0,0
S00174,I018,cloud python backend networking,java backend networking,6.82,5000,1,0
S00093,I030,ml design sql presentation,sql frontend,6.75,5500,0,0
S01084,I008,java presentation design analysis,networking ml manufacturing,7.13,5500,0,0
S01563,I029,excel networking python cloud,design java excel,7.78,5500,0,0
S00727,I001,autocad backend python,java writing sql,6.69,5000,0,0
S01115,I023,manufacturing cloud python sql,manufacturing presentation design,8.07,5500,0,0
S00880,I027,autocad frontend manufacturing communication,communication design networking,5.75,4500,1,1
S00258,I012,communication ml networking,analysis frontend sql,5.98,4500,0,0
S00792,I026,cloud manufacturing communication presentation networking,networking analysis sql manufacturing cloud,6.96,4500,0,0
S00248,I001,networking python sql design,java writing sql,7.63,5000,1,1
S01818,I019,python analysis excel frontend,design writing java,8.87,5500,0,0
S00291,I030,analysis python frontend excel writing,sql frontend,7.59,5500,0,0
S01528,I025,excel ml cloud,networking excel,8.7,5000,0,0
S01440,I029,networking writing analysis,design java excel,7.98,5500,0,0
S00037,I010,networking excel analysis,manufacturing design backend,6.58,5500,0,0
S00331,I018,networking backend autocad,java backend networking,8.46,5000,1,1
S00006,I028,networking excel analysis manufacturing communication java,python design java presentation networking,8.34,4500,0,0
S01608,I009,analysis writing frontend networking java,sql excel analysis python,6.29,5500,0,0
S00396,I005,excel cloud backend python ml,presentation sql,8.9,4500,1,0
S00603,I005,communication writing backend manufacturing networking,presentation sql,6.97,4500,0,0
S00579,I022,manufacturing networking communication frontend backend,networking java,6.4,4500,1,0
S00318,I015,presentation ml autocad java,frontend analysis,6.87,5500,0,0
S00290,I001,autocad sql presentation writing networking communication,java writing sql,8.47,5000,1,0
S00186,I006,writing excel manufacturing,sql backend,8.39,5000,0,0
S00367,I009,autocad python design excel writing ml,sql excel analysis python,7.56,5500,0,0
S00181,I036,excel presentation java manufacturing analysis sql,frontend autocad,7.48,5500,0,0
S01301,I023,java excel autocad presentation writing,manufacturing presentation design,6.84,5500,0,0
S01889,I003,backend manufacturing cloud communication,networking manufacturing frontend java python,6.85,5500,0,0
