student_id,internship_id,skills,req_skills_job,gpa,stipend_internship,reservation,gender,rural,match,accept
S03591,I032,design cloud presentation java,construction_management surveying autocad design,6.75,5000,OBC,M,1,1,1
S02325,I039,manufacturing analysis java,excel sql,6.26,5000,GEN,F,0,0,0
S02471,I051,autocad analysis,networking ml python,7.32,5000,ST,F,1,1,1
S01840,I012,autocad social_media,writing excel seo,8.94,5000,GEN,F,1,0,0
S01510,I011,java analysis cloud sql,communication analysis,7.58,5000,GEN,M,0,0,0
S01317,I026,analysis autocad design,networking pcb_design design,6.44,5000,GEN,M,1,0,0
S00768,I001,presentation analysis autocad excel,manufacturing design cad_modelling autocad,6.7,5000,GEN,F,1,0,0
S03658,I009,seo communication social_media,design autocad,4.97,5000,GEN,M,1,0,0
S01202,I019,communication writing,construction_management analysis surveying autocad,7.78,5000,GEN,M,0,0,0
S03675,I001,analysis manufacturing pcb_design,manufacturing design cad_modelling autocad,6.24,5000,OBC,M,1,0,0
S00372,I007,financial_modeling pcb_design construction_management social_media,manufacturing design networking pcb_design,5.35,5000,GEN,M,0,1,1
S01818,I030,sql social_media backend surveying,python sql java cloud,8.25,5000,GEN,F,0,0,0
S00537,I030,sql financial_modeling social_media,python sql java cloud,6.44,5000,OBC,M,0,0,0
S00701,I012,financial_modeling communication surveying,writing excel seo,6.16,5000,OBC,M,0,0,0
S02389,I059,python design java analysis,analysis design manufacturing autocad,5.44,5000,SC,M,0,0,0
S03741,I028,sql backend cloud analysis presentation,design analysis cad_modelling,5.43,5000,SC,M,1,0,0
S03197,I051,autocad surveying,networking ml python,6.95,5000,GEN,F,0,0,0
S02910,I056,python design networking,ml networking python,6.79,5000,GEN,M,0,1,0
S00447,I011,autocad surveying analysis presentation cloud,communication analysis,7.71,5000,GEN,F,0,0,0
S02060,I005,cloud sql,design analysis construction_management,4.91,5000,GEN,M,0,0,0
S01233,I058,excel design analysis,cloud sql,5.39,5000,GEN,M,0,0,0
S02800,I032,java cloud presentation,construction_management surveying autocad design,5.61,5000,OBC,F,0,0,0
S01895,I021,design writing,design manufacturing autocad cad_modelling,5.21,5000,GEN,M,0,0,0
S01565,I036,networking social_media construction_management,frontend python,6.48,5000,GEN,F,0,0,0
S02203,I032,backend sql cloud construction_management ml,construction_management surveying autocad design,8.01,5000,GEN,F,0,1,1
S00628,I038,pcb_design manufacturing communication backend,sql analysis,6.57,5000,GEN,F,0,0,0
S00762,I043,python design analysis presentation,presentation seo communication writing,7.6,5000,GEN,F,0,1,1
S03190,I016,python ml cloud manufacturing,manufacturing python,5.26,5000,OBC,F,0,1,1
S03352,I038,sql seo frontend networking design,sql analysis,7.77,5000,GEN,F,1,0,0
S01212,I060,excel cad_modelling,design pcb_design analysis python,7.05,5000,GEN,M,1,0,0
S00922,I036,financial_modeling sql frontend,frontend python,8.62,5000,GEN,M,0,0,0
S02977,I010,cloud design presentation frontend manufacturing,presentation sql,5.8,5000,GEN,M,0,0,0
S02117,I007,java networking,manufacturing design networking pcb_design,7.28,5000,GEN,F,0,1,1
S03801,I005,python cad_modelling,design analysis construction_management,7.15,5000,GEN,F,0,0,0
S00829,I056,design autocad analysis social_media,ml networking python,7.18,5000,OBC,M,0,0,0
S02110,I038,seo social_media excel,sql analysis,7.18,5000,GEN,M,0,0,0
S02712,I021,presentation excel social_media backend manufacturing,design manufacturing autocad cad_modelling,5.4,5000,OBC,M,1,0,0
S00370,I035,social_media seo construction_management writing manufacturing,presentation financial_modeling,6.57,5000,SC,F,1,0,0
S00637,I043,communication writing python,presentation seo communication writing,7.73,5000,GEN,M,1,0,0
S03857,I060,sql writing,design pcb_design analysis python,6.42,5000,OBC,M,1,0,0
S02811,I045,presentation design autocad manufacturing excel,communication analysis excel,8.38,5000,OBC,M,1,0,0
S00595,I010,python design presentation java,presentation sql,7.52,5000,GEN,M,0,0,0
S03988,I005,autocad construction_management,design analysis construction_management,6.06,5000,GEN,M,1,0,0
S01929,I041,analysis presentation sql frontend financial_modeling,communication design excel seo,7.43,5000,OBC,F,0,0,0
S02971,I040,autocad analysis design cloud pcb_design,social_media design writing,7.27,5000,GEN,M,1,0,0
S02382,I017,frontend python,analysis presentation,5.2,5000,SC,M,0,0,0
S00782,I038,presentation excel communication cloud networking,sql analysis,7.58,5000,GEN,F,0,0,0
S01975,I040,networking cloud ml communication,social_media design writing,8.22,5000,GEN,M,0,0,0
S00919,I019,ml python construction_management,construction_management analysis surveying autocad,6.35,5000,GEN,M,1,1,1
S02453,I052,writing java,cloud ml frontend,7.59,5000,OBC,F,1,0,0
S01049,I035,analysis design,presentation financial_modeling,5.86,5000,OBC,F,1,0,0
S00735,I022,writing design seo,writing seo,7.71,5000,GEN,M,1,0,0
S02359,I044,financial_modeling networking,sql presentation financial_modeling,7.4,5000,OBC,M,0,0,0
S02672,I014,communication sql presentation,backend python frontend,6.95,5000,GEN,M,1,1,0
S01730,I027,construction_management autocad design networking,autocad construction_management analysis,6.47,5000,SC,F,0,1,1
S03786,I037,analysis construction_management cad_modelling writing autocad,networking python cloud backend,6.85,5000,OBC,M,0,0,0
S00745,I030,social_media presentation excel,python sql java cloud,7.27,5000,OBC,F,0,1,1
S03367,I051,autocad cad_modelling design,networking ml python,7.34,5000,OBC,M,0,0,0
S00984,I035,excel communication,presentation financial_modeling,7.62,5000,GEN,M,0,1,0
S01082,I050,communication writing excel,ml frontend networking,8.6,5000,OBC,M,0,0,0
S00982,I034,cad_modelling analysis excel financial_modeling seo,design python manufacturing,6.56,5000,OBC,M,0,0,0
S03957,I002,design seo,autocad analysis,6.69,5000,SC,M,1,0,0
S03665,I014,communication backend frontend ml,backend python frontend,8.0,5000,GEN,O,1,1,1
S01058,I035,autocad frontend ml communication construction_management,presentation financial_modeling,7.92,5000,GEN,M,0,1,0
S02927,I043,analysis excel presentation,presentation seo communication writing,7.22,5000,GEN,M,0,0,0
S03879,I046,analysis social_media cad_modelling ml,cloud backend frontend,6.7,5000,GEN,M,1,1,0
S01079,I052,excel writing,cloud ml frontend,6.91,5000,OBC,F,1,0,0
S00025,I030,analysis autocad design cad_modelling pcb_design,python sql java cloud,7.74,5000,OBC,F,1,1,1
S02244,I005,pcb_design design surveying excel cad_modelling,design analysis construction_management,6.23,5000,SC,M,1,0,0
S00233,I037,networking backend cloud,networking python cloud backend,8.18,5000,GEN,F,0,1,1
S03562,I060,excel seo,design pcb_design analysis python,7.03,5000,GEN,M,0,1,1
S02990,I027,manufacturing networking design,autocad construction_management analysis,7.76,5000,GEN,M,0,0,0
S02503,I038,java python social_media manufacturing,sql analysis,7.48,5000,ST,M,1,0,0
S01473,I002,pcb_design seo cad_modelling,autocad analysis,5.12,5000,GEN,M,1,0,0
S01332,I025,design networking,surveying design,8.1,5000,GEN,M,0,1,0
S02880,I057,analysis construction_management networking cad_modelling sql,backend sql cloud ml,5.88,5000,OBC,F,1,0,0
S00394,I040,networking java ml,social_media design writing,6.22,5000,GEN,M,0,0,0
S03500,I013,java networking sql surveying communication,surveying analysis construction_management design,8.87,5000,SC,M,1,0,0
S03425,I008,autocad design ml,networking manufacturing python design,8.71,5000,GEN,M,1,1,0
S00246,I020,cloud pcb_design excel networking,financial_modeling excel presentation,8.28,5000,OBC,M,0,0,0
S00288,I043,design communication,presentation seo communication writing,5.92,5000,SC,M,0,0,0
S03628,I023,cad_modelling analysis ml,ml frontend sql java,6.53,5000,GEN,M,1,0,0
S00549,I008,networking presentation python construction_management,networking manufacturing python design,5.47,5000,GEN,M,0,0,0
S03656,I030,frontend networking,python sql java cloud,7.29,5000,ST,M,0,0,0
S01108,I053,cloud presentation,backend sql cloud,6.97,5000,OBC,M,0,1,1
S00324,I040,python seo cloud sql java,social_media design writing,6.4,5000,SC,M,1,1,1
S01542,I005,presentation social_media backend pcb_design cloud,design analysis construction_management,7.0,5000,OBC,F,0,0,0
S02430,I040,java backend,social_media design writing,5.25,5000,GEN,F,0,0,0
S01907,I024,financial_modeling analysis cad_modelling python,python pcb_design design,8.11,5000,GEN,M,0,0,0
S01464,I058,backend analysis manufacturing excel,cloud sql,6.8,5000,GEN,M,0,0,0
S02079,I003,seo presentation ml,ml sql networking python,8.22,5000,GEN,F,1,0,0
S03557,I013,backend sql frontend social_media cloud,surveying analysis construction_management design,7.96,5000,OBC,F,1,0,0
S00024,I044,communication cloud,sql presentation financial_modeling,7.2,5000,OBC,M,0,0,0
S01924,I016,cloud backend,manufacturing python,6.6,5000,GEN,M,0,0,0
S01451,I007,presentation communication social_media,manufacturing design networking pcb_design,6.1,5000,GEN,M,0,0,0
S01565,I024,networking social_media construction_management,python pcb_design design,6.48,5000,GEN,F,0,0,0
S00223,I041,sql networking cad_modelling backend,communication design excel seo,9.19,5000,GEN,M,1,0,0
S03943,I016,manufacturing communication construction_management excel autocad,manufacturing python,7.59,5000,SC,M,0,0,0
S00037,I027,excel presentation construction_management manufacturing backend,autocad construction_management analysis,6.16,5000,GEN,M,0,0,0
S02551,I008,analysis pcb_design manufacturing python networking,networking manufacturing python design,8.18,5000,GEN,F,0,1,1
S02745,I038,presentation communication seo social_media python,sql analysis,6.52,5000,GEN,M,1,0,0
S01791,I009,presentation seo design,design autocad,7.98,5000,OBC,F,0,0,0
S00380,I016,java ml presentation social_media pcb_design,manufacturing python,8.13,5000,OBC,M,0,0,0
S00657,I010,presentation financial_modeling sql manufacturing analysis,presentation sql,8.61,5000,GEN,M,0,1,0
S00206,I048,cad_modelling cloud design,ml java,5.59,5000,GEN,F,0,0,0
S02711,I049,python pcb_design financial_modeling seo frontend,writing seo design presentation,6.74,5000,OBC,M,0,0,0
S01018,I037,writing seo,networking python cloud backend,6.31,5000,GEN,M,1,0,0
S00179,I047,analysis cad_modelling java,cad_modelling design manufacturing,6.17,5000,GEN,M,0,0,0
S00209,I002,networking manufacturing,autocad analysis,7.86,5000,OBC,F,1,0,0
S00116,I001,frontend networking autocad ml,manufacturing design cad_modelling autocad,6.93,5000,SC,M,0,0,0
S02235,I044,financial_modeling analysis surveying cad_modelling,sql presentation financial_modeling,7.35,5000,GEN,F,0,1,0
S03170,I029,excel presentation cad_modelling,design communication,8.77,5000,GEN,M,1,0,0
S03689,I059,ml sql python surveying,analysis design manufacturing autocad,6.48,5000,GEN,M,0,0,0
S03416,I034,analysis surveying writing,design python manufacturing,7.6,5000,OBC,F,0,0,0
S03388,I038,excel cloud,sql analysis,7.84,5000,GEN,F,0,0,0
S01653,I029,analysis writing social_media manufacturing construction_management,design communication,7.87,5000,ST,F,0,0,0
S03670,I031,java sql writing construction_management communication,sql analysis,6.74,5000,GEN,M,0,0,0
S03788,I023,cad_modelling analysis manufacturing,ml frontend sql java,5.84,5000,GEN,F,1,0,0
S01784,I060,autocad analysis sql pcb_design,design pcb_design analysis python,5.25,5000,GEN,M,1,0,0
S00223,I048,sql networking cad_modelling backend,ml java,9.19,5000,GEN,M,1,0,0
S03383,I021,analysis communication seo ml frontend,design manufacturing autocad cad_modelling,8.15,5000,GEN,F,1,0,0
S00581,I017,design python cloud networking ml,analysis presentation,6.43,5000,SC,F,1,0,0
S02844,I013,cloud java backend communication manufacturing,surveying analysis construction_management design,9.39,5000,GEN,M,1,0,0
S02669,I037,backend ml networking autocad pcb_design,networking python cloud backend,7.21,5000,GEN,M,0,0,0
S00942,I008,sql financial_modeling,networking manufacturing python design,8.41,5000,OBC,F,0,0,0
S00111,I003,cloud networking presentation,ml sql networking python,5.93,5000,GEN,F,0,1,1
S01386,I054,writing presentation seo manufacturing,networking sql frontend backend,7.26,5000,OBC,M,0,0,0
S03586,I060,communication writing seo pcb_design,design pcb_design analysis python,6.76,5000,GEN,F,0,0,0
S00716,I035,communication sql financial_modeling frontend,presentation financial_modeling,6.23,5000,GEN,F,0,0,0
S03230,I015,manufacturing networking analysis,communication presentation excel,6.74,5000,GEN,M,0,0,0
S01690,I008,sql analysis ml frontend,networking manufacturing python design,7.6,5000,GEN,M,0,0,0
S01270,I020,design analysis,financial_modeling excel presentation,6.05,5000,GEN,F,1,0,0
S01597,I029,networking analysis,design communication,6.95,5000,GEN,F,0,0,0
S01465,I020,ml networking,financial_modeling excel presentation,6.2,5000,SC,M,1,0,0
S01379,I044,analysis presentation social_media,sql presentation financial_modeling,6.98,5000,OBC,M,1,0,0
S01835,I011,presentation excel ml,communication analysis,6.12,5000,GEN,M,0,0,0
S01127,I059,analysis seo,analysis design manufacturing autocad,7.95,5000,GEN,M,1,1,1
S03909,I015,communication writing excel analysis manufacturing,communication presentation excel,7.88,5000,GEN,M,0,1,1
S01012,I008,networking java cloud communication,networking manufacturing python design,6.82,5000,GEN,F,0,0,0
S01674,I029,analysis manufacturing autocad backend seo,design communication,5.89,5000,GEN,M,1,0,0
S01649,I021,cad_modelling manufacturing construction_management writing networking,design manufacturing autocad cad_modelling,6.81,5000,GEN,M,0,1,1
S00827,I001,ml python cloud autocad,manufacturing design cad_modelling autocad,7.49,5000,GEN,F,0,0,0
S03753,I003,python sql frontend networking,ml sql networking python,7.26,5000,GEN,M,0,1,0
S00525,I010,python analysis networking cloud ml,presentation sql,7.19,5000,GEN,M,0,0,0
S01902,I011,excel presentation,communication analysis,8.81,5000,GEN,M,1,0,0
S00227,I010,social_media seo communication autocad,presentation sql,7.34,5000,GEN,F,1,0,0
S02364,I034,cloud java networking surveying,design python manufacturing,5.43,5000,GEN,F,0,0,0
S03343,I044,design python,sql presentation financial_modeling,7.67,5000,GEN,M,0,1,1
S03489,I006,java financial_modeling cad_modelling excel design,manufacturing cad_modelling analysis design,6.98,5000,SC,F,1,0,0
S01481,I042,ml python communication autocad,communication excel presentation,7.6,5000,GEN,F,0,1,1
S00312,I042,excel sql presentation,communication excel presentation,7.05,5000,OBC,M,0,1,1
S00730,I032,sql analysis presentation writing,construction_management surveying autocad design,6.68,5000,OBC,M,0,0,0
S03688,I038,financial_modeling excel,sql analysis,7.82,5000,GEN,M,1,0,0
S02892,I040,java cloud design,social_media design writing,6.41,5000,ST,F,1,1,1
S03783,I059,design social_media python,analysis design manufacturing autocad,8.0,5000,OBC,M,1,1,1
S03653,I042,analysis social_media construction_management networking presentation,communication excel presentation,5.17,5000,GEN,F,1,0,0
S02871,I030,autocad cad_modelling design frontend python,python sql java cloud,7.96,5000,OBC,F,0,1,1
S03447,I020,manufacturing analysis,financial_modeling excel presentation,7.48,5000,GEN,F,1,0,0
S01073,I057,construction_management design manufacturing backend networking,backend sql cloud ml,5.77,5000,SC,F,0,1,0
S02517,I051,writing seo python,networking ml python,7.32,5000,GEN,F,0,0,0
S00356,I055,excel presentation sql,cloud ml backend python,8.5,5000,SC,M,0,0,0
S01322,I040,manufacturing design autocad python,social_media design writing,7.67,5000,SC,F,1,0,0
S02352,I027,cloud networking,autocad construction_management analysis,6.66,5000,GEN,F,1,0,0
S03402,I002,networking ml,autocad analysis,6.11,5000,OBC,M,1,0,0
S01233,I051,excel design analysis,networking ml python,5.39,5000,GEN,M,0,0,0
S00456,I051,presentation financial_modeling communication surveying cloud,networking ml python,7.46,5000,GEN,M,0,0,0
S01314,I012,java cloud python,writing excel seo,8.8,5000,GEN,F,0,0,0
S03711,I026,analysis construction_management,networking pcb_design design,7.25,5000,GEN,M,1,0,0
S02652,I020,design communication social_media,financial_modeling excel presentation,8.27,5000,SC,O,0,0,0
S03515,I025,sql python pcb_design ml design,surveying design,7.29,5000,OBC,F,1,0,0
S02099,I043,design autocad cad_modelling,presentation seo communication writing,7.86,5000,OBC,M,0,0,0
S01562,I053,design sql,backend sql cloud,6.2,5000,OBC,F,0,0,0
S00795,I029,sql presentation analysis manufacturing,design communication,8.3,5000,GEN,M,1,0,0
S03753,I014,python sql frontend networking,backend python frontend,7.26,5000,GEN,M,0,1,1
S00130,I047,communication sql financial_modeling seo,cad_modelling design manufacturing,10.0,5000,GEN,M,0,0,0
S02219,I056,surveying construction_management seo backend,ml networking python,6.4,5000,GEN,F,0,0,0
S00018,I025,python ml cloud frontend,surveying design,6.71,5000,OBC,F,0,0,0
S03845,I050,design construction_management presentation,ml frontend networking,5.04,5000,ST,F,1,0,0
S03353,I003,java sql cad_modelling frontend seo,ml sql networking python,7.0,5000,GEN,F,0,0,0
S00116,I006,frontend networking autocad ml,manufacturing cad_modelling analysis design,6.93,5000,SC,M,0,1,1
S01091,I010,sql ml,presentation sql,6.21,5000,GEN,M,1,0,0
S00417,I046,analysis autocad,cloud backend frontend,7.11,5000,SC,M,0,0,0
S01345,I026,excel communication manufacturing,networking pcb_design design,6.46,5000,OBC,F,0,0,0
S03722,I021,sql financial_modeling presentation,design manufacturing autocad cad_modelling,6.39,5000,GEN,M,0,0,0
S01283,I023,backend frontend construction_management,ml frontend sql java,4.4,5000,OBC,M,0,1,1
S03415,I036,financial_modeling networking,frontend python,9.64,5000,GEN,F,0,0,0
S03771,I058,financial_modeling excel,cloud sql,6.35,5000,OBC,M,0,1,1
S03734,I030,design manufacturing writing communication analysis,python sql java cloud,6.77,5000,OBC,M,1,1,1
S02310,I048,networking sql analysis seo,ml java,6.22,5000,OBC,F,0,0,0
S02440,I009,python surveying cloud networking,design autocad,5.85,5000,GEN,M,0,0,0
S00675,I038,autocad cad_modelling design writing,sql analysis,8.38,5000,GEN,M,0,1,1
S03232,I008,ml design,networking manufacturing python design,8.72,5000,SC,M,1,0,0
S00137,I034,seo social_media,design python manufacturing,6.53,5000,OBC,M,1,0,0
S00807,I056,manufacturing design analysis python writing,ml networking python,8.0,5000,SC,F,0,0,0
S02361,I013,cloud design surveying construction_management seo,surveying analysis construction_management design,4.61,5000,GEN,F,0,1,0
S00654,I039,presentation python excel,excel sql,5.85,5000,GEN,M,0,0,0
S00726,I053,seo java,backend sql cloud,5.59,5000,GEN,F,0,0,0
S01552,I037,communication excel sql,networking python cloud backend,7.56,5000,GEN,M,0,0,0
S01506,I001,seo design,manufacturing design cad_modelling autocad,6.05,5000,GEN,M,0,0,0
S00617,I049,python analysis sql social_media excel,writing seo design presentation,7.77,5000,GEN,F,1,1,1
S01434,I050,analysis cad_modelling backend frontend design,ml frontend networking,6.7,5000,GEN,M,1,0,0
S01170,I024,excel communication pcb_design analysis cad_modelling,python pcb_design design,7.19,5000,OBC,F,0,0,0
S00706,I051,writing social_media cad_modelling,networking ml python,6.85,5000,GEN,F,0,0,0
S00464,I041,seo writing,communication design excel seo,6.48,5000,GEN,M,0,0,0
S00359,I056,presentation sql,ml networking python,7.11,5000,GEN,M,0,0,0
S02087,I041,pcb_design analysis communication,communication design excel seo,7.42,5000,GEN,F,1,0,0
S02636,I037,autocad cad_modelling social_media,networking python cloud backend,5.37,5000,GEN,M,0,0,0
S00812,I027,cad_modelling frontend java pcb_design writing,autocad construction_management analysis,9.17,5000,OBC,F,0,0,0
S02951,I002,communication construction_management ml,autocad analysis,9.94,5000,GEN,M,0,0,0
S02896,I050,java ml cloud seo autocad,ml frontend networking,6.93,5000,GEN,F,0,0,0
S01770,I041,frontend python sql,communication design excel seo,6.73,5000,OBC,M,0,0,0
S01707,I058,communication design backend autocad networking,cloud sql,8.2,5000,GEN,F,0,1,1
S01855,I052,sql financial_modeling analysis seo cloud,cloud ml frontend,8.42,5000,GEN,M,0,0,0
S02710,I006,design cloud seo financial_modeling analysis,manufacturing cad_modelling analysis design,6.94,5000,ST,M,1,0,0
S00545,I054,python networking sql,networking sql frontend backend,5.72,5000,GEN,M,0,0,0
S03814,I051,design autocad,networking ml python,4.62,5000,GEN,F,0,0,0
S03654,I019,seo cloud ml construction_management networking,construction_management analysis surveying autocad,7.62,5000,GEN,F,0,0,0
S03619,I046,writing excel,cloud backend frontend,7.36,5000,GEN,F,0,0,0
S01457,I056,python cloud cad_modelling frontend sql,ml networking python,9.62,5000,GEN,M,0,0,0
S00673,I018,writing communication,python java backend,5.61,5000,GEN,M,0,0,0
S00502,I016,backend frontend communication,manufacturing python,6.61,5000,OBC,F,0,0,0
S00701,I039,financial_modeling communication surveying,excel sql,6.16,5000,OBC,M,0,0,0
S03330,I055,presentation financial_modeling excel design,cloud ml backend python,8.09,5000,OBC,M,0,0,0
S00878,I020,design excel surveying,financial_modeling excel presentation,5.23,5000,OBC,M,0,0,0
S02131,I031,networking manufacturing pcb_design social_media communication,sql analysis,6.85,5000,ST,M,1,0,0
S03420,I021,cloud autocad pcb_design communication networking,design manufacturing autocad cad_modelling,6.73,5000,GEN,F,1,0,0
S00141,I020,presentation seo design,financial_modeling excel presentation,7.05,5000,ST,M,0,1,0
S00103,I057,sql presentation,backend sql cloud ml,6.75,5000,OBC,M,1,0,0
S03205,I006,python sql,manufacturing cad_modelling analysis design,6.36,5000,GEN,F,0,0,0
S02638,I058,analysis financial_modeling,cloud sql,5.94,5000,OBC,M,0,0,0
S01307,I042,financial_modeling writing excel sql pcb_design,communication excel presentation,7.65,5000,GEN,M,1,0,0
S02057,I039,excel writing social_media frontend,excel sql,7.44,5000,GEN,F,0,0,0
S03522,I027,python writing manufacturing surveying,autocad construction_management analysis,7.93,5000,OBC,F,1,0,0
S02874,I006,sql frontend ml presentation,manufacturing cad_modelling analysis design,6.29,5000,GEN,F,0,0,0
S02771,I023,analysis surveying networking java cad_modelling,ml frontend sql java,6.5,5000,OBC,F,1,0,0
S03279,I012,excel sql,writing excel seo,9.7,5000,OBC,F,1,1,1
S00036,I012,social_media excel,writing excel seo,7.93,5000,GEN,M,1,1,1
S03429,I057,communication excel sql,backend sql cloud ml,8.55,5000,OBC,M,0,1,1
S02613,I029,backend java python sql financial_modeling,design communication,6.33,5000,GEN,M,0,0,0
S03139,I010,design communication excel seo,presentation sql,6.94,5000,GEN,M,0,0,0
S02935,I021,seo writing,design manufacturing autocad cad_modelling,5.15,5000,GEN,M,1,0,0
S00706,I009,writing social_media cad_modelling,design autocad,6.85,5000,GEN,F,0,0,0
S02384,I052,analysis sql cloud autocad pcb_design,cloud ml frontend,8.18,5000,OBC,F,1,1,1
S02484,I006,backend frontend seo sql java,manufacturing cad_modelling analysis design,4.5,5000,ST,F,0,0,0
S00108,I017,frontend networking,analysis presentation,8.45,5000,GEN,M,0,0,0
S02153,I008,analysis networking pcb_design,networking manufacturing python design,6.6,5000,OBC,M,0,0,0
S00416,I023,financial_modeling presentation analysis seo communication,ml frontend sql java,7.4,5000,GEN,F,0,0,0
S00231,I021,analysis python manufacturing design writing,design manufacturing autocad cad_modelling,5.68,5000,OBC,M,0,0,0
S02609,I044,analysis financial_modeling,sql presentation financial_modeling,6.98,5000,OBC,F,0,1,1
S03189,I040,presentation communication,social_media design writing,7.76,5000,OBC,F,0,0,0
S00568,I040,analysis manufacturing backend social_media excel,social_media design writing,4.58,5000,SC,M,1,0,0
S00850,I047,analysis construction_management,cad_modelling design manufacturing,6.56,5000,GEN,M,0,0,0
S03568,I033,autocad excel,python design analysis,6.99,5000,OBC,M,0,0,0
S00627,I042,construction_management frontend cad_modelling,communication excel presentation,5.44,5000,SC,M,0,0,0
S03757,I013,seo analysis,surveying analysis construction_management design,5.73,5000,GEN,O,0,0,0
S01409,I027,writing social_media communication ml frontend,autocad construction_management analysis,7.03,5000,SC,M,1,0,0
S00759,I021,sql python excel,design manufacturing autocad cad_modelling,7.06,5000,GEN,M,0,0,0
S03640,I054,design analysis autocad,networking sql frontend backend,7.34,5000,GEN,F,1,0,0
S00699,I008,manufacturing pcb_design,networking manufacturing python design,6.71,5000,GEN,F,0,0,0
