student_id,internship_id,pref_rank
S00095,I051,7
S03669,I051,5
S03066,I051,7
S00310,I053,3
S01908,I057,1
S02288,I054,1
S03841,I054,1
S02484,I054,7
S03328,I054,7
S02835,I054,3
S03983,I054,1
S01260,I054,7
S03583,I005,1
S03306,I054,7
S03815,I055,2
S01707,I055,2
S02029,I055,1
S00723,I055,7
S01190,I055,7
S01038,I055,7
S03428,I058,4
S02933,I055,7
S01843,I055,1
S02709,I056,2
S00418,I056,4
S01300,I056,4
S02260,I056,6
S01556,I057,2
S03903,I058,1
S01949,I059,4
S02284,I059,1
S00049,I059,3
S01901,I059,7
S01320,I060,1
S00395,I001,1
S00529,I001,1
S01686,I002,1
S03196,I002,1
S00675,I006,2
S00392,I009,7
S01621,I009,7
S00403,I013,1
S01597,I013,2
S03885,I013,1
S00125,I015,1
S00404,I015,1
S03400,I015,1
S02326,I016,1
S02877,I016,2
S02811,I016,7
S01995,I017,1
S00328,I017,4
S00979,I018,2
S02209,I019,7
S01610,I019,7
S01197,I019,1
S01788,I020,2
S03016,I023,1
S03293,I024,1
S03469,I026,7
S03829,I026,7
S02560,I027,1
S01629,I030,2
S03490,I030,2
S03075,I030,1
S02151,I039,2
S00844,I039,2
S03397,I040,2
S00184,I040,4
S03389,I042,1
S00270,I046,3
S00161,I046,7
S03157,I047,1
S03322,I047,7
S03407,I047,7
S00494,I049,1
S02780,I049,1
S03491,I051,2
S00651,I054,5
S02674,I054,4
S03657,I055,7
S01084,I056,2
S03784,I004,1
S00059,I008,1
S00541,I009,2
S03944,I026,1
S02379,I035,2
S03662,I045,1
S01798,I048,1
S02354,I042,1
